"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
1282	"Ecuador"	218	"0-4"	263.967	340.015	387.71	447.171	512.072	572.089	631.642	671.918	689.791	695.781	714.184	698.135	670.732
1283	"Ecuador"	218	"5-9"	212.429	247.575	321.559	369.697	429.356	495.005	556.803	619.281	662.8	682.962	688.946	707.904	692.563
1284	"Ecuador"	218	"10-14"	184.784	207.426	243.069	317.404	365.479	425.101	490.926	553.284	616.538	660.004	677.659	682.785	702.368
1285	"Ecuador"	218	"15-19"	160.514	181.493	204.476	240.478	314.462	362.603	422.232	488.152	550.689	611.047	639.847	651.762	659.973
1286	"Ecuador"	218	"20-24"	138.53	157.118	178.34	201.693	237.616	311.258	359.419	419.12	485.082	541.659	572.206	589.231	607.253
1287	"Ecuador"	218	"25-29"	117.795	134.981	153.748	175.255	198.656	234.57	307.85	356.152	415.872	476.745	508.101	528.742	550.938
1288	"Ecuador"	218	"30-34"	102.78	114.126	131.432	150.449	171.978	195.491	231.45	304.596	352.875	408.972	452.116	476.591	500.864
1289	"Ecuador"	218	"35-39"	95.991	99.028	110.57	128.034	147.022	168.59	192.31	228.548	301.212	346.622	388.816	426.494	453.767
1290	"Ecuador"	218	"40-44"	81.571	91.902	95.424	107.229	124.557	143.479	165.154	189.197	225.257	295.723	332.988	371.941	411.097
1291	"Ecuador"	218	"45-49"	72.699	77.426	87.926	92.011	103.685	120.782	139.718	161.636	185.595	220.475	285.702	321.04	360.641
1292	"Ecuador"	218	"50-54"	63.841	68.185	73.326	84.064	88.199	99.649	116.649	135.764	157.521	180.782	212.739	276.064	311.562
1293	"Ecuador"	218	"55-59"	57.538	58.833	63.536	69.07	79.417	83.567	94.945	111.931	130.803	152.073	174.015	205.136	267.358
1294	"Ecuador"	218	"60-64"	50.564	51.442	53.27	58.244	63.556	73.352	77.787	89.261	105.859	124.289	144.664	166.171	196.646
1295	"Ecuador"	218	"65-69"	41.652	42.876	44.423	46.824	51.365	56.236	65.569	70.513	81.808	98.144	116.685	137.059	157.829
1296	"Ecuador"	218	"70-74"	30.028	32.27	34.179	36.399	38.561	42.516	47.145	55.956	61.501	72.822	89.165	107.563	126.796
1297	"Ecuador"	218	"75-79"	17.63	19.799	22.324	24.748	26.606	28.452	32.014	36.513	45.068	51.265	62.714	78.568	95.276
1298	"Ecuador"	218	"80-84"	8.172	8.741	10.674	12.996	14.625	15.96	17.729	21.017	25.723	33.338	39.409	49.656	62.845
1299	"Ecuador"	218	"85-89"	2.616	2.832	3.367	4.533	5.645	6.498	7.526	9.067	12.045	15.541	20.566	24.926	32.054
1300	"Ecuador"	218	"90-94"	0.557	0.599	0.739	0.99	1.372	1.759	2.199	2.85	4.034	5.667	7.275	9.751	12.195
1301	"Ecuador"	218	"95-99"	0.077	0.082	0.102	0.145	0.2	0.287	0.408	0.588	0.938	1.4	1.883	2.396	3.35
1302	"Ecuador"	218	"100+"	0.007	0.009	0.011	0.016	0.024	0.034	0.056	0.097	0.191	0.331	0.454	0.586	0.794
1471	"Fiji"	242	"0-4"	27	32	37	39.383	36.819	37.7	42.616	49.793	46.248	46.116	46.571	43.964	41.536
1472	"Fiji"	242	"5-9"	22	26	31	36.795	38.319	36.7	40.315	45.789	44.646	42.568	44.427	44.925	42.574
1473	"Fiji"	242	"10-14"	18	22	25	30.482	35.969	38.3	38.247	38.06	42.277	44.407	41.286	43.155	43.844
1474	"Fiji"	242	"15-19"	15	18	21	24.746	29.789	35.9	35.985	36.156	34.616	40.387	42.769	39.673	41.783
1475	"Fiji"	242	"20-24"	12	14	17	20.485	24.109	28.9	32.335	37.646	32.636	33.045	37.144	39.546	36.948
1476	"Fiji"	242	"25-29"	10	12	13	16.613	19.889	22.8	26.518	31.657	33.114	30.542	28.811	32.92	35.951
1477	"Fiji"	242	"30-34"	9	10	11	13.267	16.169	18.9	21.669	24.925	27.32	29.565	26.977	25.29	29.907
1478	"Fiji"	242	"35-39"	7	8	9	10.876	12.839	15.8	17.88	20.072	22.106	26.436	27.163	24.636	23.31
1479	"Fiji"	242	"40-44"	5	7	8	9.067	10.479	12.4	14.462	16.764	18.355	21.275	24.664	25.424	23.174
1480	"Fiji"	242	"45-49"	4	5	6	7.667	8.719	10	11.877	13.955	15.368	18.076	19.825	23.186	24.125
