"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
1282	"Ecuador"	218	"0-4"	270.985	348.279	397.856	459.682	527.216	589.875	652.202	694.779	714.583	722.142	743.563	727.391	700.211
1283	"Ecuador"	218	"5-9"	217.301	253.721	328.796	378.679	440.38	508.342	572.586	637.717	683.718	706.055	714.185	736.274	720.881
1284	"Ecuador"	218	"10-14"	188.722	212.049	248.867	324.144	373.972	435.664	503.726	568.395	634.254	680.209	700.315	707.704	730.36
1285	"Ecuador"	218	"15-19"	162.932	185.206	208.815	245.905	320.737	370.565	432.139	500.134	564.939	627.51	657.688	671.607	682.265
1286	"Ecuador"	218	"20-24"	139.965	159.305	181.726	205.612	242.524	316.843	366.541	427.982	495.778	553.612	583.921	601.232	621.578
1287	"Ecuador"	218	"25-29"	118.897	136.213	155.617	178.181	201.993	238.721	312.404	362.014	423.026	484.601	515.392	534.868	557.484
1288	"Ecuador"	218	"30-34"	102.451	115.076	132.414	151.934	174.359	198.111	234.601	307.624	356.83	413.075	454.464	477.212	500.574
1289	"Ecuador"	218	"35-39"	94.752	98.619	111.339	128.763	148.082	170.326	193.957	230.209	302.216	347.864	389.256	424.567	450.064
1290	"Ecuador"	218	"40-44"	79.259	90.572	94.861	107.756	124.863	143.878	165.841	189.292	225.036	294.082	330.9	368.543	405.132
1291	"Ecuador"	218	"45-49"	69.105	74.92	86.302	91.103	103.699	120.41	139.044	160.653	183.804	217.983	281.142	315.679	353.609
1292	"Ecuador"	218	"50-54"	61	64.292	70.438	81.977	86.689	98.847	115.094	133.365	154.545	176.851	208.283	269.096	303.313
1293	"Ecuador"	218	"55-59"	53.87	55.351	59.192	65.772	76.63	81.123	92.805	108.561	126.37	146.95	168.198	198.657	257.536
1294	"Ecuador"	218	"60-64"	45.156	46.921	49.14	53.53	59.606	69.592	74.056	85.331	100.649	117.902	137.577	158.109	187.253
1295	"Ecuador"	218	"65-69"	35.055	36.802	39.297	42.249	46.126	51.477	60.688	65.486	76.438	91.189	108.047	126.993	146.167
1296	"Ecuador"	218	"70-74"	23.568	25.672	28.104	31.227	33.657	36.838	41.693	50.158	55.137	65.667	80.193	96.336	113.411
1297	"Ecuador"	218	"75-79"	12.873	14.519	16.784	19.426	21.771	23.667	26.48	30.871	38.193	43.552	54.324	68.065	81.876
1298	"Ecuador"	218	"80-84"	5.575	5.917	7.277	9.114	10.756	12.288	13.856	16.264	20.091	26.224	31.671	40.831	51.36
1299	"Ecuador"	218	"85-89"	1.73	1.849	2.151	2.888	3.724	4.522	5.4	6.464	8.472	11.085	14.984	18.579	24.234
1300	"Ecuador"	218	"90-94"	0.364	0.391	0.461	0.59	0.826	1.109	1.421	1.826	2.577	3.6	4.753	6.521	8.25
1301	"Ecuador"	218	"95-99"	0.05	0.055	0.065	0.085	0.114	0.168	0.24	0.334	0.535	0.805	1.093	1.437	2.03
1302	"Ecuador"	218	"100+"	0.005	0.006	0.007	0.01	0.013	0.019	0.03	0.048	0.093	0.164	0.231	0.305	0.42
1471	"Fiji"	242	"0-4"	28	33	39	40.879	38.219	39.3	44.746	52.599	49.153	49.022	49.444	46.672	44.155
1472	"Fiji"	242	"5-9"	22	26	32	38.383	39.689	38	42.167	48.324	47.172	45.328	47.206	47.665	45.207
1473	"Fiji"	242	"10-14"	18	21	25	31.423	37.429	39.6	39.718	39.677	44.453	46.862	44.038	45.927	46.605
1474	"Fiji"	242	"15-19"	15	18	20	24.897	30.669	36.6	36.606	36.542	36.04	42.18	45.242	42.449	44.603
1475	"Fiji"	242	"20-24"	13	15	17	20.166	24.199	28.2	31.835	37.101	33.236	34.749	39.003	42.072	39.843
1476	"Fiji"	242	"25-29"	11	12	14	16.583	19.599	22.5	26.592	32.152	33.107	31.408	30.552	34.8	38.58
1477	"Fiji"	242	"30-34"	10	10	12	13.793	16.069	18.5	21.436	24.835	28.419	30.093	27.739	26.92	31.766
1478	"Fiji"	242	"35-39"	8	9	10	11.498	13.329	15.7	17.984	20.351	22.47	27.578	27.53	25.24	24.853
1479	"Fiji"	242	"40-44"	6	7	9	9.673	11.069	13	14.959	17.127	18.751	21.761	25.611	25.61	23.657
1480	"Fiji"	242	"45-49"	4	5	7	8.45	9.209	10.6	12.253	14.077	15.551	17.99	20.026	23.812	24.055
1481	"Fiji"	242	"50-54"	4	4	5	6.812	7.939	8.6	9.842	11.243	12.213	13.953	16.377	18.369	22.163
